chr p0 p1 gene R2 Zscore.classic p.classic beta_alt se_alt p_alt n_used_snp n_snp
12 9220260 9268825 A2M 0.000990790134813155 NA NA NA NA NA 0 64
12 8975068 9039597 A2ML1 0.00123904986909408 NA NA NA NA NA 0 17
12 121163538 121177811 ACADS 0.000856743613769733 NA NA NA NA NA 0 272
12 52345451 52390862 ACVR1B 0.00040497666065365 NA NA NA NA NA 0 433
12 52300692 52317145 ACVRL1 0.0240895242060165 NA NA NA NA NA 0 422
12 58118980 58135940 AGAP2 0.000894815365467441 NA NA NA NA NA 0 242
12 112204691 112247782 ALDH2 0.00804300912359766 NA NA NA NA NA 0 122
12 109525996 109531436 ALKBH2 0.000929266294326065 NA NA NA NA NA 0 329
12 47469490 47473734 AMIGO2 0.0125353289692375 NA NA NA NA NA 0 339
12 110810705 110841535 ANAPC7 0.000968210861809666 NA NA NA NA NA 0 172
12 99038919 99129204 APAF1 0.000319885641589241 NA NA NA NA NA 0 335
12 56754353 56756607 APOF 0.028614709533582 NA NA NA NA NA 0 238
12 49329506 49351334 ARF3 0.000763358324969839 NA NA NA NA NA 0 222
12 15094951 15114662 ARHGDIB 0.000819515707954515 NA NA NA NA NA 0 310
12 58003963 58013162 ARHGEF25 0.0103323779222015 NA NA NA NA NA 0 213
12 101786898 101801598 ARL1 0.00104112881986175 NA NA NA NA NA 0 366
12 110872630 110888227 ARPC3 0.000642034355611048 NA NA NA NA NA 0 171
12 14978503 14996429 ART4 0.369998395668371 NA NA NA NA NA 0 317
12 57031959 57039798 ATP5B 0.00044164588177583 NA NA NA NA NA 0 234
12 122688090 122693499 B3GNT4 0.00112385094812737 NA NA NA NA NA 0 231
12 58017193 58027138 B4GALNT1 0.000305637389736124 NA NA NA NA NA 0 231
12 53693470 53700961 C12orf10 0.0014986243572284 NA NA NA NA NA 0 341
12 49726200 49730971 C1QL4 0.0004480577288562 NA NA NA NA NA 0 253
12 7187513 7245203 C1R 0.00676425716806662 NA NA NA NA NA 0 191
12 7242183 7261869 C1RL 0.0126020923333884 NA NA NA NA NA 0 187
12 7096351 7180195 C1S 0.0167435951134898 NA NA NA NA NA 0 230
12 67663061 67713731 CAND1 0.000540650258394345 NA NA NA NA NA 0 400
12 54624724 54673886 CBX5 0.000545110757902738 NA NA NA NA NA 0 305
12 120427673 120532298 CCDC64 0.000888642417455783 NA NA NA NA NA 0 335
12 7623409 7656489 CD163 0.000719406918696748 NA NA NA NA NA 0 65
12 6554033 6560884 CD27 0.000446593860506043 NA NA NA NA NA 0 374
12 6896024 6929974 CD4 0.00130481817472676 NA NA NA NA NA 0 281
12 56119107 56123491 CD63 0.000360933770551833 NA NA NA NA NA 0 257
12 9905082 9913497 CD69 0.00220869768167481 NA NA NA NA NA 0 201
12 6308881 6347425 CD9 0.000872052175196694 NA NA NA NA NA 0 456
12 123745528 123756881 CDK2AP1 0.000350156974757097 NA NA NA NA NA 0 219
12 12867992 12875305 CDKN1B 0.00204005832222388 NA NA NA NA NA 0 568
12 51722227 51740463 CELA1 0.000751413248047262 NA NA NA NA NA 0 311
12 50523575 50561288 CERS5 0.000552556753935424 NA NA NA NA NA 0 187
12 133398773 133532890 CHFR 0.000310624450898377 NA NA NA NA NA 0 265
12 104849073 105155792 CHST11 0.0709262354908282 NA NA NA NA NA 0 472
12 106631655 106698057 CKAP4 0.000366993477334941 NA NA NA NA NA 0 378
12 10103915 10148293 CLEC12A 0.568088810936372 NA NA NA NA NA 0 229
12 10138241 10166023 CLEC1B 0.014377648738414 NA NA NA NA NA 0 233
12 10051272 10084980 CLEC2A 0.000955134396878455 NA NA NA NA NA 0 234
12 10005583 10022735 CLEC2B 0.00119897537045726 NA NA NA NA NA 0 223
12 9817565 9848413 CLEC2D 0.000368512053763024 NA NA NA NA NA 0 180
12 7882011 7904201 CLEC4C 0.00615486739588346 NA NA NA NA NA 0 20
12 10269376 10282857 CLEC7A 0.000448968398562403 NA NA NA NA NA 0 236
12 7282294 7311541 CLSTN3 0.000245657944331288 NA NA NA NA NA 0 172
12 41086244 41466220 CNTN1 0.0428141522771588 NA NA NA NA NA 0 292
12 48366748 48398269 COL2A1 0.282847488543347 NA NA NA NA NA 0 334
12 69235977 69365350 CPM 0.010362181405447 NA NA NA NA NA 0 416
12 94071151 94288616 CRADD 0.00252164026420625 NA NA NA NA NA 0 538
12 56665483 56694176 CS 0.000489308341869031 NA NA NA NA NA 0 220
12 77252495 77272840 CSRP2 0.000502563762719097 NA NA NA NA NA 0 383
12 109252708 109294819 DAO 0.000300639792045333 NA NA NA NA NA 0 343
12 91539025 91576900 DCN 0.00118013705981109 NA NA NA NA NA 0 283
12 2055220 2113701 DCP1B 0.00097805870530757 NA NA NA NA NA 0 563
12 57923885 57941114 DCTN2 0.00110262993393939 NA NA NA NA NA 0 224
12 57910371 57914300 DDIT3 0.000721595950532667 NA NA NA NA NA 0 224
12 49223547 49246625 DDX23 0.000226090213699121 NA NA NA NA NA 0 223
12 123237321 123255611 DENR 0.00119451055111026 NA NA NA NA NA 0 187
12 49483204 49488602 DHH 0.000647187594919261 NA NA NA NA NA 0 239
12 122692210 122712081 DIABLO 0.000491627040871052 NA NA NA NA NA 0 230
12 113494514 113535833 DTX1 0.000367632713053407 NA NA NA NA NA 0 329
12 12628829 12715317 DUSP16 0.00117613583575465 NA NA NA NA NA 0 599
12 89741009 89747048 DUSP6 0.000853237885953864 NA NA NA NA NA 0 216
12 120907653 120936296 DYNLL1 0.00200552531839829 NA NA NA NA NA 0 276
12 93164413 93323107 EEA1 0.00137081096862438 NA NA NA NA NA 0 436
12 104697517 104698980 EID3 0.00120853913526072 NA NA NA NA NA 0 403
12 124104953 124118313 EIF2B1 0.00246829652338818 NA NA NA NA NA 0 355
12 53399942 53435993 EIF4B 0.00161448070679527 NA NA NA NA NA 0 401
12 96588160 96663613 ELK3 0.000603133938126577 NA NA NA NA NA 0 391
12 48103517 48119350 ENDOU 0.00250334057800264 NA NA NA NA NA 0 322
12 7022909 7032861 ENO2 0.0111964253855975 NA NA NA NA NA 0 125
12 91357456 91398803 EPYC 0.0004014211545235 NA NA NA NA NA 0 255
12 56473641 56497289 ERBB3 0.00748193092755778 NA NA NA NA NA 0 219
12 15066969 15092016 ERP27 0.000304666133709856 NA NA NA NA NA 0 318
12 112451120 112461255 ERP29 0.000803068808137433 NA NA NA NA NA 0 140
12 22778009 22843599 ETNK1 0.000453763226631616 NA NA NA NA NA 0 343
12 62102040 62672931 FAM19A2 0.000590842418544063 NA NA NA NA NA 0 380
12 4477393 4488894 FGF23 0.00133352362489907 NA NA NA NA NA 0 649
12 4537321 4554780 FGF6 0.00120420750160749 NA NA NA NA NA 0 654
12 2904119 2914576 FKBP4 0.00590370044212895 NA NA NA NA NA 0 686
12 2966847 2986206 FOXM1 0.00189253558846924 NA NA NA NA NA 0 641
12 69864129 69973562 FRS2 0.000617671384281236 NA NA NA NA NA 0 345
12 130647004 130650285 FZD10 0.00119843808887701 NA NA NA NA NA 0 773
12 10365057 10375727 GABARAPL1 0.00179243226456987 NA NA NA NA NA 0 246
12 6643093 6647537 GAPDH 0.00202890964420956 NA NA NA NA NA 0 341
12 56137064 56150911 GDF11 0.000824169794090668 NA NA NA NA NA 0 259
12 7842378 7848372 GDF3 0.00039664610282469 NA NA NA NA NA 0 34
12 75874460 75897633 GLIPR1 0.00441868160649632 NA NA NA NA NA 0 337
12 110288748 110318293 GLTP 0.000753063010152789 NA NA NA NA NA 0 195
12 65107225 65153227 GNS 0.00112736687140159 NA NA NA NA NA 0 295
12 50497602 50505102 GPD1 0.00107362052403687 NA NA NA NA NA 0 181
12 42475647 42538681 GXYLT1 0.0910818548159884 NA NA NA NA NA 0 295
12 123185840 123187890 HCAR2 0.000628271942460482 NA NA NA NA NA 0 195
12 13127798 13153207 HEBP1 0.118565488566262 NA NA NA NA NA 0 453
12 66217911 66360075 HMGA2 0.000197394159986998 NA NA NA NA NA 0 376
12 121416346 121440315 HNF1A 0.000426570273113349 NA NA NA NA NA 0 270
12 54673977 54680872 HNRNPA1 0.000931396552478686 NA NA NA NA NA 0 312
12 122277433 122301502 HPD 0.00111928563296682 NA NA NA NA NA 0 278
12 117293949 117319246 HRK 0.000919987877810763 NA NA NA NA NA 0 510
12 104323885 104347423 HSP90B1 0.240361198572804 NA NA NA NA NA 0 422
12 21507893 21532912 IAPP 0.00215738589638133 NA NA NA NA NA 0 337
12 68548548 68553527 IFNG 0.000148692988707457 NA NA NA NA NA 0 421
12 102789645 102874423 IGF1 0.00396646578431731 NA NA NA NA NA 0 369
12 53491220 53496129 IGFBP6 0.00309416624586654 NA NA NA NA NA 0 382
12 68642022 68647387 IL22 0.00204491267805849 NA NA NA NA NA 0 20
12 68595131 68619601 IL26 0.000441029753214728 NA NA NA NA NA 0 441
12 122656577 122658746 IL31 0.000451386685870356 NA NA NA NA NA 0 230
12 6759446 6772314 ING4 0.000424090840980053 NA NA NA NA NA 0 313
12 57828543 57844611 INHBC 0.614805430383899 NA NA NA NA NA 0 223
12 44152747 44183346 IRAK4 0.00305269877963021 NA NA NA NA NA 0 232
12 108956358 108963160 ISCU 0.000963560258531395 NA NA NA NA NA 0 335
12 54789045 54813244 ITGA5 0.000496744308365253 NA NA NA NA NA 0 308
12 53585102 53601091 ITGB7 0.000800887419190494 NA NA NA NA NA 0 370
12 91444268 91451760 KERA 0.000546766245247316 NA NA NA NA NA 0 276
12 13197218 13295455 KIAA1467 0.00188162379776568 NA NA NA NA NA 0 517
12 88886570 88974628 KITLG 0.000713906235387529 NA NA NA NA NA 0 210
12 9747147 9760482 KLRB1 0.00601957508829308 NA NA NA NA NA 0 157
12 10594863 10607284 KLRC1 0.000834533338657728 NA NA NA NA NA 0 276
12 10564911 10573194 KLRC3 0.000735925265275621 NA NA NA NA NA 0 265
12 10559983 10562356 KLRC4 0.000591695793090908 NA NA NA NA NA 0 271
12 9980077 9997606 KLRF1 0.000662836281263287 NA NA NA NA NA 0 228
12 10524952 10544473 KLRK1 0.000877126593178806 NA NA NA NA NA 0 265
12 53068520 53074191 KRT1 0.0103922162891278 NA NA NA NA NA 0 383
12 53342655 53346685 KRT18 0.000333318008606797 NA NA NA NA NA 0 384
12 52908359 52914471 KRT5 0.0130204389599136 NA NA NA NA NA 0 391
12 52626304 52645970 KRT7 0.000561906408707245 NA NA NA NA NA 0 437
12 52979373 52995322 KRT72 0.000834735503982705 NA NA NA NA NA 0 397
12 55024595 55028679 LACRT 0.00130365234841951 NA NA NA NA NA 0 139
12 6881678 6887621 LAG3 0.0116470887502127 NA NA NA NA NA 0 281
12 21788276 21910791 LDHB 0.00489351041663107 NA NA NA NA NA 0 292
12 51441745 51454207 LETMD1 0.000427725014257868 NA NA NA NA NA 0 233
12 71833550 71980090 LGR5 0.00486695304877208 NA NA NA NA NA 0 334
12 50569571 50677329 LIMA1 0.00190377362303878 NA NA NA NA NA 0 208
12 81186299 81331704 LIN7A 0.000598080800720516 NA NA NA NA NA 0 226
12 59265931 59314303 LRIG3 0.15902856739659 NA NA NA NA NA 0 23
12 25173936 25261268 LRMP 0.000296565102680683 NA NA NA NA NA 0 492
12 57522276 57607134 LRP1 0.000301122976061226 NA NA NA NA NA 0 222
12 40590546 40763087 LRRK2 0.000945730181546412 NA NA NA NA NA 0 235
12 1929433 1945918 LRTM2 0.00108420431736073 NA NA NA NA NA 0 560
12 96394606 96437298 LTA4H 0.00260141062215975 NA NA NA NA NA 0 355
12 6484211 6500733 LTBR 0.00121690704014848 NA NA NA NA NA 0 394
12 91496406 91505608 LUM 0.0311169870626067 NA NA NA NA NA 0 236
12 69742121 69748014 LYZ 0.122196892565912 NA NA NA NA NA 0 360
12 10758612 10766222 MAGOHB 0.00268259340996318 NA NA NA NA NA 0 311
12 12482198 12503475 MANSC1 0.0207133142459944 NA NA NA NA NA 0 565
12 27915671 27924209 MANSC4 0.095228967557048 NA NA NA NA NA 0 307
12 112279782 112334343 MAPKAPK5 0.000240165791562539 NA NA NA NA NA 0 20
12 68666223 68726161 MDM1 0.00114770122019404 NA NA NA NA NA 0 432
12 69201956 69239214 MDM2 0.000403304402995885 NA NA NA NA NA 0 402
12 95867296 95909615 METAP2 0.000839282007614048 NA NA NA NA NA 0 491
12 58162254 58166576 METTL1 0.000459951106018709 NA NA NA NA NA 0 244
12 86372516 87232681 MGAT4C 0.00070590239434516 NA NA NA NA NA 0 168
